"PACKAGE_NO"	"ID"	"LOCATION"	"TAG"
"1"	3	"18.7898278,98.987786"	"City"
"1"	1	"18.7955246,98.9788063"	"City"
"1"	2	"18.7953452,98.9864869"	"City"
"2"	3	"18.7811214,98.9928448"	"คูเมือง"
"2"	4	"18.7954022,98.9937109"	"คูเมือง"
"2"	5	"18.7956072,98.9782294"	"คูเมือง"
"2"	1	"18.7956413,98.978482"	"คูเมือง"
"2"	2	"18.7815998,98.9775798"	"คูเมือง"
"5"	1	"18.79051,98.9625257"	"fun"
"5"	2	"18.7869911,98.9627062"	"fun"
"5"	3	"18.7868544,98.9640053"	"fun"
"3"	1	"18.808551,98.9545218"	"mountain"
"3"	2	"18.8106228,98.9474408"	"mountain"
"3"	3	"18.8179348,98.9453379"	"mountain"
"4"	1	"18.7903521,98.9638517"	"drink"
"4"	2	"18.7947399,98.9653538"	"drink"
"4"	3	"18.7940899,98.9683149"	"drink"
"6"	1	"18.7901896,98.9636372"	"drink"
"6"	2	"18.7948618,98.9654825"	"drink"
"7"	1	"18.7933375,98.953406"	"department store"
"7"	2	"18.7909811,98.9609162"	"department store"
"7"	3	"18.7890716,98.970658"	"department store"
"7"	4	"18.7887872,98.9777819"	"department store"
"7"	5	"18.7699751,98.9758937"	"department store"
"8"	3	"18.8034534,98.9593283"	"department store"
"8"	4	"18.8052815,98.9602725"	"department store"
"8"	1	"18.7909405,98.9607016"	"department store"
"8"	2	"18.7950032,98.9619891"	"department store"
"8"	5	"18.7964658,98.9769665"	"department store"
"9"	1	"18.7958309,98.9825481"	"temple"
"9"	2	"18.7955465,98.9900583"	"temple"
"9"	3	"18.7932713,98.9898866"	"temple"
"9"	4	"18.7870959,98.9902729"	"temple"
"9"	5	"18.7865271,98.9882129"	"temple"
"10"	1	"18.8011195,98.9678719"	"golf"
"10"	2	"18.7961318,98.978265"	"golf"
"10"	3	"18.7955168,98.9863486"	"golf"
"10"	4	"18.8102746,98.9847607"	"golf"
"10"	5	"18.8267389,98.9792033"	"golf"
